CUS_CUST_ID,registration_date,sit_site_id,cus_nickname,flag_ca,flag_mia,flag_up,flag_trusted_seller,flag_gmv_high,flag_gmv_low,flag_tpv_high,flag_tpv_low,flag_repu_ml,flag_repu_glg,flag_repu_yor,last_transaction,tpv_approved,gmv_not_refund,count_orders,cashout,gmv_claims_seller,count_claims_seller,flag_on_final,activo,tpv_nulo,gmv_nulo,cluster
192535062,2015-09-15,MLU   ,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
211371201,2016-04-15,MLA   ,BUSCALIBREARG,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-07-24,0,0,0.0,0,0.0,0.0,1,0,1,1,1
287487971,2017-11-29,MLB   ,CARMENSTEFFENSOFICIAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-08-27,0,0,0.0,0,0.0,0.0,1,0,1,1,1
212365137,2016-04-26,MLB   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
173205249,2014-12-16,MLC   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
95821018,2009-12-10,MLM   ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
119647379,2012-08-17,MLA   ,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021-03-21,17446,0,0.0,0,0.0,0.0,0,1,0,1,1
103177871,2012-02-18,MLM   ,MASHAFITNESS,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-07-28,0,0,0.0,0,0.0,0.0,1,0,1,1,1
349386179,2018-08-27,MLA   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
130085454,2012-12-07,MLM   ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
217009773,2016-06-13,MLB   ,ENTERLIGHTIMPORTS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2021-02-06,0,0,3.0,0,46.17,2.0,1,1,1,1,1
79920625,2005-04-17,MLB   ,SHOPWATCH LTDA,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020-12-08,0,0,0.0,0,0.0,0.0,1,0,1,1,1
260915731,2017-06-16,MLB   ,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-27,0,0,0.0,0,0.0,0.0,0,0,1,1,1
186816621,2015-07-02,MLB   ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
264107307,2017-07-12,MLB   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
269071729,2017-08-17,MLM   ,MXESTORE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-05-28,0,0,0.0,0,0.0,0.0,1,0,1,1,1
97450008,2006-08-17,MLA   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
380249230,2018-11-23,MLA   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
175407293,2015-01-20,MLU   ,NELSONSOBREROTOF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06-04,0,0,0.0,0,0.0,0.0,1,0,1,1,1
308199645,2018-03-15,MCO   ,FEIONACO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,1,0,1,1,1
154550560,2014-02-24,MLA   ,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06-22,0,0,0.0,0,0.0,0.0,0,0,1,1,1
193811032,2015-10-02,MCO   ,TRADERCOMCOLOMBIA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2021-03-03,0,11,1.0,0,11.99,1.0,1,1,1,0,1
207319815,2016-02-29,MLB   ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
276863624,2017-10-05,MLB   ,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
204927454,2016-02-02,MLC   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
221652407,2016-07-18,MLB   ,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021-03-21,20193,0,0.0,0,0.0,0.0,0,1,0,1,1
